"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"One Piece: Treasure Wars 2: Buggyland e Youkoso","US","Miscellaneous,Board Games","One Piece: Treasure Wars 2: Buggyland e Youkoso is a Miscellaneous game, developed by Graphic Research and published by Bandai,which was released in Japan in 2002.","n/a","8.0","n/a","Graphic Research","Dec 20, 2002 ","http://www.gamefaqs.com/wsc/583209-one-piece-treasure-wars-2-buggyland-e-youkoso"
"Pocket no Naka no Doraemon","US","Strategy,Breeding/Constructing","Pocket no Naka no Doraemon is a Strategy game, developed and published by Bandai,which was released in Japan in 2001.","n/a","6.0","n/a","Bandai","May 24, 2001 ","http://www.gamefaqs.com/wsc/580432-pocket-no-naka-no-doraemon"
"Princess Maker: Yumemiru Yousei","US","Strategy,Breeding/Constructing","Princess Maker: Yumemiru Yousei is a Strategy game, published by Bandai Visual,which was cancelled before it was released.","","","","Bandai Visual","Canceled ","http://www.gamefaqs.com/wsc/580437-princess-maker-yumemiru-yousei"
"Raku Jongg","US","Miscellaneous,Board Games","Raku Jongg is a Miscellaneous game, developed by Enterbrain and published by Bandai,which was released in Japan in 2001.","n/a","n/a","n/a","Enterbrain","May 31, 2001 ","http://www.gamefaqs.com/wsc/582060-raku-jongg"
"Rhyme Rider Kerorican","US","Action,General","Rhyme Rider Kerorican is an Action game, developed by NanaOn-Sha and published by Bandai,which was released in Japan in 2000.","7.0","7.0","n/a","NanaOn-Sha","Dec9, 2000 ","http://www.gamefaqs.com/wsc/579969-rhyme-rider-kerorican"
"Riviera: Yakusoku no Chi Riviera","US","Role-Playing,General","Riviera: Yakusoku no Chi Riviera is a Role-Playing game, developed by Sting and published by Bandai,which was released in Japan in 2002.","10.0","8.6","n/a","Sting","Jul 12, 2002 ","http://www.gamefaqs.com/wsc/582217-riviera-yakusoku-no-chi-riviera"
"RockMan EXE N1 Battle","US","Role-Playing,General","RockMan EXE N1 Battle is a Role-Playing game, developed by Inti and published by Capcom,which was released in Japan in 2003.","n/a","5.5","n/a","Inti","Aug8, 2003 ","http://www.gamefaqs.com/wsc/918342-rockman-exe-n1-battle"
"RockMan EXE WS","US","Action,General","RockMan EXE WS is an Action game, developed by Capcom and published by Bandai,which was released in Japan in 2003.","4.7","7.3","n/a","Capcom","Feb8, 2003 ","http://www.gamefaqs.com/wsc/583208-rockman-exe-ws"
"Romancing SaGa","US","Role-Playing,Console-style RPG","A thousand years ago, Saruin was imprisoned. Now the barriers that contain him are weakening, and his foreboding shadow threatens to swallow the world of Mardias once again. Who will rid the world of Saruin's scourge? A mysterious minstrel appears and guides the group to adventure, at times shielding them from adversity. Occasionally, the minstrel forces grave choices upon them, which change their world and twist the plots they encounter. Romancing SaGa reclaims the renowned features of the series and boasts all new elements enhancing gameplay, bringing the player even deeper into the story. The free-roaming scenario system gives gamers a choice of eight intriguing playable characters, each with their own unique adventures and individual goals. Depending on the character and actions chosen, the plot and the subsequent events differentiate dramatically. This free-roaming scenario system promises the ultimate in open-ended adventure.","n/a","8.3","n/a","SquareSoft","Dec 20, 2001 ","http://www.gamefaqs.com/wsc/578836-romancing-saga"
"Run=Dim: Return to Earth","US","Action,Shooter,Scrolling","Run=Dim: Return to Earth is an Action game, developed and published by Digital Dream,which was released in Japan in 2002.","n/a","6.0","n/a","Digital Dream","Feb7, 2002 ","http://www.gamefaqs.com/wsc/566641-rundim-return-to-earth"
"Saint Seiya: Ougon Densetsuhen Perfect Edition","US","Role-Playing,General","Saint Seiya: Ougon Densetsuhen Perfect Edition is a Role-Playing game, developed by TOSE and published by Bandai,which was released in Japan in 2003.","4.0","7.8","n/a","TOSE","Jul 31, 2003 ","http://www.gamefaqs.com/wsc/918343-saint-seiya-ougon-densetsuhen-perfect-edition"
"SD Gundam Eiyuuden: Kishi Densetsu","US","Driving,Racing,Arcade","SD Gundam Eiyuuden: Kishi Densetsu is a Driving game, developed and published by Bandai,which was released in Japan in 2001.","n/a","4.0","n/a","Bandai","Mar 15, 2001 ","http://www.gamefaqs.com/wsc/580430-sd-gundam-eiyuuden-kishi-densetsu"
