"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Denno Tenshi: Digital Angel","Adventure,General","Denno Tenshi: Digital Angel is an Adventure game, published by Tokuma Shoten,which was released in Japan in 1994.","n/a","9.5","n/a","Tokuma Shoten","Nov 16, 1994 ","http://www.gamefaqs.com/turbocd/589257-denno-tenshi-digital-angel"
"Digital Comic - Patlabor: Chapter of Griffon","Adventure,General","Digital Comic - Patlabor: Chapter of Griffon is an Adventure game, published by River Hill Software,which was released in Japan in 1993.","n/a","n/a","n/a","River Hill Software","Sep 30, 1993 ","http://www.gamefaqs.com/turbocd/916063-digital-comic-patlabor-chapter-of-griffon"
"Doraemon Nobita No Dorabian Nights","Action,Platformer,2D","Doraemon Nobita No Dorabian Nights is an Action game, developed by Now Production and published by Hudson,which was released in Japan in 1992.","n/a","10.0","n/a","Now Production","May 29, 1992 ","http://www.gamefaqs.com/turbocd/571607-doraemon-nobita-no-dorabian-nights"
"Doraemon Nobita No Dorabian Nights","Action,Platformer,2D","Doraemon Nobita No Dorabian Nights is an Action game, developed by Now Production and published by Hudson,which was released in Japan in 1992.","n/a","10.0","n/a","Now Production","May 29, 1992 ","http://www.gamefaqs.com/turbocd/571607-doraemon-nobita-no-dorabian-nights"
"Double Dragon II: The Revenge","Action,Beat-'Em-Up","The Double Dragons - Billy and Jimmy Lee - are back to avenge the loss of Marion! In their quest to defeat the evil Shadow Warriors, the martial arts duo are challenged in 9 incredible missions, facing ruthless street gangs, nunchaku-toting ninja and giant mutant warriors! The non-stop action winds its way through construction sites, alleyways and underwater hideouts complete with secret elevator shafts, spiked ceilings and razor-sharp mechanical claws!","8.0","6.0","n/a","Kid","Mar 12, 1993 ","http://www.gamefaqs.com/turbocd/589259-double-dragon-ii-the-revenge"
"Doukyuusei","Miscellaneous,Virtual Life","Doukyuusei is a Miscellaneous game, developed by Flight-Plan and published by NEC Interchannel,which was released in Japan in 1995.","n/a","n/a","n/a","Flight-Plan","Nov 23, 1995 ","http://www.gamefaqs.com/turbocd/589258-doukyuusei"
"Download 2","Action,Shooter,Scrolling","Download 2 is an Action game, published by NEC Interchannel,which was released in Japan in 1991.","n/a","7.3","","","","http://www.gamefaqs.com/turbocd/589261-download-2"
"Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai","Action,General","Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai is an Action game, developed by Kid and published by Naxat Soft,which was released in Japan in 1992.","7.0","7.5","n/a","Kid","Dec 11, 1992 ","http://www.gamefaqs.com/turbocd/589263-downtown-nekketsu-koushinkyoku-soreyuke"
"Downtown Nekketsu Monogatari","Action,General","Downtown Nekketsu Monogatari is an Action game, developed by Kid and published by Naxat Soft,which was released in Japan in 1993.","8.0","7.0","n/a","Kid","Dec 24, 1993 ","http://www.gamefaqs.com/turbocd/589262-downtown-nekketsu-monogatari"
"Dragon Ball Z: Idainaru Goku Densetsu","Action,Fighting,2D","Dragon Ball Z: Idainaru Goku Densetsu is an Action game, developed by Bec and published by Bandai,which was released in Japan in 1994.","9.0","7.4","n/a","Bec","Nov 11, 1994 ","http://www.gamefaqs.com/turbocd/575537-dragon-ball-z-idainaru-goku-densetsu"
